season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2020,2,II,GLVC,492887,Maryville (MO),WLA,395.0
2020,2,II,GLIAC,492888,Ashland,WLA,35.0
2020,2,II,Conference Carolinas,492889,Southern Wesleyan,WLA,30192.0
2020,2,II,Sunshine State,492890,Embry-Riddle (FL),WLA,9680.0
2020,2,II,Sunshine State,492891,Palm Beach Atl.,WLA,30045.0
2020,2,II,SAC,492892,Mars Hill,WLA,1199.0
2020,2,II,NE10,492893,Adelphi,WLA,3.0
2020,2,II,Gulf South,492894,UAH,WLA,
2020,2,II,NE10,492895,American Int'l,WLA,22.0
2020,2,II,NE10,492896,Assumption,WLA,36.0
2020,2,II,NE10,492897,Bentley,WLA,56.0
2020,2,II,PSAC,492898,Bloomsburg,WLA,65.0
2020,2,II,ECC,492899,Bridgeport,WLA,74.0
2020,2,II,MEC,492900,Davis & Elkins,WLA,174.0
2020,2,II,ECC,492901,Dist. Columbia,WLA,186.0
2020,2,II,PSAC,492902,East Stroudsburg,WLA,197.0
2020,2,II,PSAC,492903,Edinboro,WLA,209.0
2020,2,II,Sunshine State,492904,Florida Tech,WLA,230.0
2020,2,II,Sunshine State,492905,Fla. Southern,WLA,233.0
2020,2,II,NE10,492906,Franklin Pierce,WLA,241.0
2020,2,II,PSAC,492907,Gannon,WLA,246.0
2020,2,II,GLIAC,492908,Grand Valley St.,WLA,262.0
2020,2,II,PSAC,492909,Indiana (PA),WLA,307.0
2020,2,II,GLVC,492910,UIndy,WLA,309.0
2020,2,II,PSAC,492911,Kutztown,WLA,339.0
2020,2,II,NE10,492912,Le Moyne,WLA,349.0
2020,2,II,PSAC,492913,Lock Haven,WLA,360.0
2020,2,II,ECC,492915,Mercy,WLA,407.0
2020,2,II,PSAC,492916,Mercyhurst,WLA,408.0
2020,2,II,PSAC,492918,Millersville,WLA,423.0
2020,2,II,ECC,492919,Molloy,WLA,437.0
2020,2,II,NE10,492920,Southern N.H.,WLA,468.0
2020,2,II,NE10,492921,New Haven,WLA,470.0
2020,2,II,ECC,492922,New York Tech,WLA,477.0
2020,2,II,GLIAC,492923,Northern Mich.,WLA,506.0
2020,2,II,NE10,492924,Pace,WLA,533.0
2020,2,II,CACC,492925,Jefferson,WLA,543.0
2020,2,II,RMAC,492927,Regis (CO),WLA,568.0
2020,2,II,Sunshine State,492928,Rollins,WLA,584.0
2020,2,II,NE10,492929,St. Anselm,WLA,593.0
2020,2,II,Sunshine State,492930,Saint Leo,WLA,608.0
2020,2,II,PSAC,492932,Shippensburg,WLA,638.0
2020,2,II,PSAC,492933,Slippery Rock,WLA,643.0
2020,2,II,NE10,492934,Southern Conn. St.,WLA,658.0
2020,2,II,NE10,492935,Stonehill,WLA,682.0
2020,2,II,Sunshine State,492936,Tampa,WLA,689.0
2020,2,II,PSAC,492937,West Chester,WLA,765.0
2020,2,II,RMAC,492938,Adams St.,WLA,929.0
2020,2,II,G-MAC,492939,Alderson Broaddus,WLA,934.0
2020,2,II,CACC,492940,Caldwell,WLA,995.0
2020,2,II,SAC,492941,Catawba,WLA,1001.0
2020,2,II,MEC,492942,Charleston (WV),WLA,1013.0
2020,2,II,SAC,492943,Coker,WLA,1023.0
2020,2,II,Conference Carolinas,492944,Erskine,WLA,1072.0
2020,2,II,G-MAC,492945,Findlay,WLA,1079.0
2020,2,II,RMAC,492946,Fort Lewis,WLA,1083.0
2020,2,II,CACC,492947,Holy Family,WLA,1126.0
2020,2,II,SAC,492948,Lenoir-Rhyne,WLA,1170.0
2020,2,II,Conference Carolinas,492949,Limestone,WLA,1174.0
2020,2,II,SAC,492950,Lincoln Memorial,WLA,1176.0
2020,2,II,Gulf South,492951,Montevallo,WLA,1238.0
2020,2,II,Conference Carolinas,492952,Mount Olive,WLA,1245.0
2020,2,II,SAC,492953,Newberry,WLA,1257.0
2020,2,II,CACC,492954,Alliance,WLA,1277.0
2020,2,II,CACC,492955,Post,WLA,1318.0
2020,2,II,GLVC,492956,Rockhurst,WLA,1328.0
2020,2,II,ECC,492957,St. Thomas Aquinas,WLA,1348.0
2020,2,II,G-MAC,492958,Tiffin,WLA,1403.0
2020,2,II,CACC,492959,Wilmington (DE),WLA,1460.0
2020,2,II,SAC,492960,Wingate,WLA,1462.0
2020,2,II,Conference Carolinas,492961,Belmont Abbey,WLA,2683.0
2020,2,II,RMAC,492962,CSU Pueblo,WLA,2720.0
2020,2,II,Conference Carolinas,492964,Chowan,WLA,8875.0
2020,2,II,Conference Carolinas,492965,Converse,WLA,8935.0
2020,2,II,CACC,492966,Dominican (NY),WLA,8956.0
2020,2,II,CACC,492967,Georgian Court,WLA,9004.0
2020,2,II,GLIAC,492968,Concordia-St. Paul,WLA,9081.0
2020,2,II,Conference Carolinas,492969,North Greenville,WLA,9223.0
2020,2,II,MEC,492970,West Va. Wesleyan,WLA,9630.0
2020,2,II,RMAC,492971,UC-Colo. Springs,WLA,9754.0
2020,2,II,MEC,492972,Shepherd,WLA,10870.0
2020,2,II,RMAC,492973,Colorado Mesa,WLA,11416.0
2020,2,II,SAC,492974,Queens (NC),WLA,11504.0
2020,2,II,SAC,492976,Tusculum,WLA,12830.0
2020,2,II,Conference Carolinas,492977,Lees-McRae,WLA,13302.0
2020,2,II,Conference Carolinas,492979,Barton,WLA,15646.0
2020,2,II,CACC,492980,Chestnut Hill,WLA,21323.0
2020,2,II,CACC,492981,Felician,WLA,23157.0
2020,2,II,Gulf South,492982,Lee,WLA,30013.0
2020,2,II,PSAC,492983,Seton Hill,WLA,30063.0
2020,2,II,MEC,492984,Notre Dame (OH),WLA,30126.0
2020,2,II,GLVC,492985,Lindenwood,WLA,30136.0
2020,2,II,GLVC,492986,McKendree,WLA,30138.0
2020,2,II,G-MAC,492987,Ursuline,WLA,30140.0
2020,2,II,G-MAC,492988,Walsh,WLA,30141.0
2020,2,II,ECC,492989,Roberts Wesleyan,WLA,30150.0
2020,2,II,Gulf South,492990,Shorter,WLA,30151.0
2020,2,II,Gulf South,492991,Young Harris,WLA,30154.0
2020,2,II,MEC,492992,UVA Wise,WLA,30181.0
2020,2,II,Conference Carolinas,492993,Emmanuel (GA),WLA,30193.0
2020,2,II,RMAC,492994,Okla. Baptist,WLA,30202.0
2020,2,II,RMAC,492995,Westminster (UT),WLA,30209.0
2020,2,II,GLIAC,492996,Davenport,WLA,30221.0
2020,2,II,GLVC,492997,Lewis,WLA,354.0
2020,2,II,MEC,493143,Frostburg St.,WLA,243.0
2020,2,II,Gulf South,497450,Lander,WLA,1167.0
2020,2,II,Sunshine State,497477,Lynn,WLA,20794.0
2020,2,II,GLVC,497488,Quincy,WLA,561.0
2020,2,II,NE10,497520,Saint Rose,WLA,1347.0
2020,2,II,GLIAC,497636,Upper Iowa,WLA,728.0
