season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,2,II,GLIAC,594242,Davenport,WLA,30221,https://davenportathletics.com/sports/womens-lacrosse
2025,2,II,GLVC,594243,Lewis,WLA,354,https://lewisflyers.com/sports/womens-lacrosse
2025,2,II,GLVC,594246,Quincy,WLA,561,https://quincyhawks.com/sports/womens-lacrosse
2025,2,II,Sunshine State,594248,Lynn,WLA,20794,https://lynnfightingknights.com/sports/womens-lacrosse
2025,2,II,Gulf South,594251,Lander,WLA,1167,https://landerbearcats.com/sports/womens-lacrosse
2025,2,II,ECC,594252,D'Youville,WLA,1059,https://dysaints.com/sports/womens-lacrosse
2025,2,II,ECC,594254,Daemen,WLA,30174,https://daemenwildcats.com/sports/womens-lacrosse
2025,2,II,G-MAC,594256,Malone,WLA,30137,https://malonepioneers.com/sports/womens-lacrosse
2025,2,II,G-MAC,594257,Thomas More,WLA,1402,https://thomasmoresaints.com/sports/womens-lacrosse
2025,2,II,GLVC,594259,William Jewell,WLA,30120,https://williamjewellcardinals.com/sports/womens-lacrosse
2025,2,II,GLIAC,594261,Grand Valley St.,WLA,262,https://gvsulakers.com/sports/womens-lacrosse
2025,2,II,GLVC,594264,UIndy,WLA,309,https://uindygreyhounds.com/sports/womens-lacrosse
2025,2,II,NE10,594265,Pace,WLA,533,https://pacesetters.com/sports/womens-lacrosse
2025,2,II,RMAC,594267,Regis (CO),WLA,568,https://regisrangers.com/sports/womens-lacrosse
2025,2,II,Sunshine State,594270,Tampa,WLA,689,https://gotampa.com/sports/womens-lacrosse
2025,2,II,PSAC,594272,West Chester,WLA,765,https://wcugoldenrams.com/sports/womens-lacrosse
2025,2,II,SAC,594274,Limestone,WLA,1174,https://limestonesaints.com/sports/womens-lacrosse
2025,2,II,Conference Carolinas,594276,Mount Olive,WLA,1245,https://mtathletics.com/sports/womens-lacrosse
2025,2,II,CACC,594278,Dominican (NY),WLA,8956,https://dominicanchargers.com/sports/womens-lacrosse
2025,2,II,G-MAC,594280,Walsh,WLA,30141,https://walshcavaliers.com/sports/womens-lacrosse
2025,2,II,ECC,594282,Roberts Wesleyan,WLA,30150,https://robertswesleyanathletics.com/sports/womens-lacrosse
2025,2,II,MEC,594283,Frostburg St.,WLA,243,https://frostburgathletics.com/sports/womens-lacrosse
2025,2,II,Gulf South,594285,Flagler,WLA,30092,https://flaglersaints.com/sports/womens-lacrosse
2025,2,II,GLIAC,594852,Saginaw Valley,WLA,591,https://svsuathletics.com/sports/womens-lacrosse
2025,2,II,MEC,594853,Wheeling,WLA,12799,https://wheelingathletics.com/sports/womens-lacrosse
2025,2,II,SAC,600931,Emory & Henry,WLA,216,https://ehwasps.com/sports/womens-lacrosse
2025,2,II,MEC,601076,Dominican (CA),WLA,30118,https://dominicanguinpenguins.com/sports/womens-lacrosse
2025,2,II,G-MAC,601145,Northwood,WLA,510,https://northwoodtimberwolves.com/sports/womens-lacrosse
2025,2,II,DII Independent,601219,Virginia St.,WLA,743,https://vstrojans.com/sports/womens-lacrosse
