season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2011,2,II,NE10,29765,Adelphi,WLA,3
2011,2,II,NE10,29766,American Int'l,WLA,22
2011,2,II,NE10,29767,Assumption,WLA,36
2011,2,II,NE10,29768,Bentley,WLA,56
2011,2,II,PSAC,29769,Bloomsburg,WLA,65
2011,2,II,ECC,29770,Bridgeport,WLA,74
2011,2,II,PSAC,29771,East Stroudsburg,WLA,197
2011,2,II,PSAC,29772,Edinboro,WLA,209
2011,2,II,NE10,29773,Franklin Pierce,WLA,241
2011,2,II,PSAC,29774,Gannon,WLA,246
2011,2,II,PSAC,29775,Indiana (PA),WLA,307
2011,2,II,PSAC,29776,Kutztown,WLA,339
2011,2,II,NE10,29777,Le Moyne,WLA,349
2011,2,II,PSAC,29778,Lock Haven,WLA,360
2011,2,II,ECC,29779,LIU Post,WLA,362
2011,2,II,ECC,29780,Mercy,WLA,407
2011,2,II,PSAC,29781,Mercyhurst,WLA,408
2011,2,II,NE10,29782,Merrimack,WLA,410
2011,2,II,PSAC,29783,Millersville,WLA,423
2011,2,II,ECC,29784,Molloy,WLA,437
2011,2,II,NE10,29785,Southern N.H.,WLA,468
2011,2,II,NE10,29786,New Haven,WLA,470
2011,2,II,Conference Carolinas,29787,Pfeiffer,WLA,542
2011,2,II,CACC,29788,Jefferson,WLA,543
2011,2,II,ECC,29789,Queens (NY),WLA,560
2011,2,II,RMAC,29790,Regis (CO),WLA,568
2011,2,II,Rollins,29791,Rollins,WLA,584
2011,2,II,Conference Carolinas,29792,St. Andrews,WLA,592
2011,2,II,NE10,29793,St. Anselm,WLA,593
2011,2,II,NE10,29794,Saint Michael's,WLA,613
2011,2,II,PSAC,29795,Shippensburg,WLA,638
2011,2,II,PSAC,29796,Slippery Rock,WLA,643
2011,2,II,NE10,29797,Southern Conn. St.,WLA,658
2011,2,II,NE10,29798,Stonehill,WLA,682
2011,2,II,PSAC,29799,West Chester,WLA,765
2011,2,II,RMAC,29800,Adams St.,WLA,929
2011,2,II,Conference Carolinas,29801,Erskine,WLA,1072
2011,2,II,RMAC,29802,Fort Lewis,WLA,1083
2011,2,II,CACC,29803,Holy Family,WLA,1126
2011,2,II,Lenoir-Rhyne,29804,Lenoir-Rhyne,WLA,1170
2011,2,II,Conference Carolinas,29805,Limestone,WLA,1174
2011,2,II,CACC,29806,Post,WLA,1318
2011,2,II,ECC,29807,St. Thomas Aquinas,WLA,1348
2011,2,II,Tiffin,29808,Tiffin,WLA,1403
2011,2,II,CACC,29809,Wilmington (DE),WLA,1460
2011,2,II,Conference Carolinas,29810,Belmont Abbey,WLA,2683
2011,2,II,ECC,29811,Dowling,WLA,2692
2011,2,II,ECC,29812,Lake Erie,WLA,2746
2011,2,II,Conference Carolinas,29813,Converse,WLA,8935
2011,2,II,CACC,29814,Dominican (NY),WLA,8956
2011,2,II,CACC,29815,Georgian Court,WLA,9004
2011,2,II,West Va. Wesleyan,29816,West Va. Wesleyan,WLA,9630
2011,2,II,Shepherd,29817,Shepherd,WLA,10870
2011,2,II,RMAC,29818,Colorado Mesa,WLA,11416
2011,2,II,Conference Carolinas,29819,Queens (NC),WLA,11504
2011,2,II,Conference Carolinas,29820,Lees-McRae,WLA,13302
2011,2,II,CACC,29821,Chestnut Hill,WLA,21323
2011,2,II,ECC,29822,Seton Hill,WLA,30063
2011,2,II,Urbana,29823,Urbana,WLA,30104
