season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2013,2,II,NE10,79410,Adelphi,WLA,3
2013,2,II,NE10,79411,American Int'l,WLA,22
2013,2,II,NE10,79412,Assumption,WLA,36
2013,2,II,NE10,79413,Bentley,WLA,56
2013,2,II,PSAC,79414,Bloomsburg,WLA,65
2013,2,II,ECC,79415,Bridgeport,WLA,74
2013,2,II,PSAC,79416,East Stroudsburg,WLA,197
2013,2,II,PSAC,79417,Edinboro,WLA,209
2013,2,II,Independent,79418,Fla. Southern,WLA,233
2013,2,II,NE10,79419,Franklin Pierce,WLA,241
2013,2,II,PSAC,79420,Gannon,WLA,246
2013,2,II,GLIAC,79421,Grand Valley St.,WLA,262
2013,2,II,PSAC,79422,Indiana (PA),WLA,307
2013,2,II,PSAC,79423,Kutztown,WLA,339
2013,2,II,NE10,79424,Le Moyne,WLA,349
2013,2,II,PSAC,79425,Lock Haven,WLA,360
2013,2,II,ECC,79426,LIU Post,WLA,362
2013,2,II,ECC,79427,Mercy,WLA,407
2013,2,II,PSAC,79428,Mercyhurst,WLA,408
2013,2,II,NE10,79429,Merrimack,WLA,410
2013,2,II,PSAC,79430,Millersville,WLA,423
2013,2,II,ECC,79431,Molloy,WLA,437
2013,2,II,NE10,79432,Southern N.H.,WLA,468
2013,2,II,NE10,79433,New Haven,WLA,470
2013,2,II,Conference Carolinas,79434,Pfeiffer,WLA,542
2013,2,II,CACC,79435,Jefferson,WLA,543
2013,2,II,ECC,79436,Queens (NY),WLA,560
2013,2,II,RMAC,79437,Regis (CO),WLA,568
2013,2,II,Independent,79438,Rollins,WLA,584
2013,2,II,NE10,79439,St. Anselm,WLA,593
2013,2,II,Independent,79440,Saint Leo,WLA,608
2013,2,II,NE10,79441,Saint Michael's,WLA,613
2013,2,II,PSAC,79442,Shippensburg,WLA,638
2013,2,II,PSAC,79443,Slippery Rock,WLA,643
2013,2,II,NE10,79444,Southern Conn. St.,WLA,658
2013,2,II,NE10,79445,Stonehill,WLA,682
2013,2,II,PSAC,79446,West Chester,WLA,765
2013,2,II,RMAC,79447,Adams St.,WLA,929
2013,2,II,GLIAC,79448,Alderson Broaddus,WLA,934
2013,2,II,Independent,79449,Catawba,WLA,1001
2013,2,II,Conference Carolinas,79450,Erskine,WLA,1072
2013,2,II,GLIAC,79451,Findlay,WLA,1079
2013,2,II,RMAC,79452,Fort Lewis,WLA,1083
2013,2,II,CACC,79453,Holy Family,WLA,1126
2013,2,II,Independent,79454,Lenoir-Rhyne,WLA,1170
2013,2,II,Conference Carolinas,79455,Limestone,WLA,1174
2013,2,II,Conference Carolinas,79456,Mount Olive,WLA,1245
2013,2,II,Independent,79457,Newberry,WLA,1257
2013,2,II,CACC,79458,Alliance,WLA,1277
2013,2,II,CACC,79459,Post,WLA,1318
2013,2,II,ECC,79460,St. Thomas Aquinas,WLA,1348
2013,2,II,GLIAC,79461,Tiffin,WLA,1403
2013,2,II,CACC,79462,Wilmington (DE),WLA,1460
2013,2,II,Conference Carolinas,79463,Belmont Abbey,WLA,2683
2013,2,II,ECC,79464,Dowling,WLA,2692
2013,2,II,GLIAC,79465,Lake Erie,WLA,2746
2013,2,II,Independent,79466,Chowan,WLA,8875
2013,2,II,Conference Carolinas,79467,Converse,WLA,8935
2013,2,II,CACC,79468,Dominican (NY),WLA,8956
2013,2,II,CACC,79469,Georgian Court,WLA,9004
2013,2,II,Independent,79470,West Va. Wesleyan,WLA,9630
2013,2,II,Independent,79471,Shepherd,WLA,10870
2013,2,II,RMAC,79472,Colorado Mesa,WLA,11416
2013,2,II,Conference Carolinas,79473,Queens (NC),WLA,11504
2013,2,II,GLIAC,79474,Wheeling,WLA,12799
2013,2,II,Conference Carolinas,79475,Lees-McRae,WLA,13302
2013,2,II,CACC,79476,Chestnut Hill,WLA,21323
2013,2,II,ECC,79477,Seton Hill,WLA,30063
2013,2,II,GLIAC,79478,Urbana,WLA,30104
2013,2,II,GLIAC,79479,Notre Dame (OH),WLA,30126
2013,2,II,RMAC,79480,Lindenwood,WLA,30136
2013,2,II,RMAC,79481,McKendree,WLA,30138
2013,2,II,GLIAC,79482,Walsh,WLA,30141
