season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2023,1,1,MAC,546288,Youngstown St.,WLA,817
2023,1,1,Big South,546289,Wofford,WLA,2915
2023,1,1,Pac-12,546290,Arizona St.,WLA,28
2023,1,1,MAC,546291,Kent St.,WLA,331
2023,1,1,Patriot,546292,American,WLA,23
2023,1,1,America East,546293,Binghamton,WLA,62
2023,1,1,ACC,546294,Boston College,WLA,67
2023,1,1,Patriot,546295,Boston U.,WLA,68
2023,1,1,Ivy League,546296,Brown,WLA,80
2023,1,1,America East,546297,Bryant,WLA,81
2023,1,1,Patriot,546298,Bucknell,WLA,83
2023,1,1,Big East,546299,Butler,WLA,87
2023,1,1,Pac-12,546300,California,WLA,107
2023,1,1,MPSF,546301,UC Davis,WLA,108
2023,1,1,Big South,546302,Campbell,WLA,115
2023,1,1,MAAC,546303,Canisius,WLA,116
2023,1,1,NEC,546304,Central Conn. St.,WLA,127
2023,1,1,MAC,546305,Central Mich.,WLA,129
2023,1,1,The American,546306,Cincinnati,WLA,140
2023,1,1,ASUN,546307,Coastal Carolina,WLA,149
2023,1,1,Patriot,546308,Colgate,WLA,153
2023,1,1,Pac-12,546309,Colorado,WLA,157
2023,1,1,Ivy League,546310,Columbia,WLA,158
2023,1,1,Big East,546311,UConn,WLA,164
2023,1,1,Ivy League,546312,Cornell,WLA,167
2023,1,1,Ivy League,546313,Dartmouth,WLA,172
2023,1,1,Atlantic 10,546314,Davidson,WLA,173
2023,1,1,ASUN,546315,Delaware St.,WLA,178
2023,1,1,CAA,546316,Delaware,WLA,180
2023,1,1,Big East,546317,Denver,WLA,183
2023,1,1,MAC,546318,Detroit Mercy,WLA,184
2023,1,1,CAA,546319,Drexel,WLA,191
2023,1,1,ACC,546320,Duke,WLA,193
2023,1,1,Atlantic 10,546321,Duquesne,WLA,194
2023,1,1,MAAC,546322,Fairfield,WLA,220
2023,1,1,The American,546323,Florida,WLA,235
2023,1,1,Big South,546324,Furman,WLA,244
2023,1,1,Atlantic 10,546325,George Mason,WLA,248
2023,1,1,Atlantic 10,546326,George Washington,WLA,249
2023,1,1,Big East,546327,Georgetown,WLA,251
2023,1,1,Ivy League,546328,Harvard,WLA,275
2023,1,1,CAA,546329,Hofstra,WLA,283
2023,1,1,Patriot,546330,Holy Cross,WLA,285
2023,1,1,NEC,546331,Howard,WLA,290
2023,1,1,MAAC,546332,Iona,WLA,310
2023,1,1,ASUN,546333,Jacksonville,WLA,316
2023,1,1,The American,546334,James Madison,WLA,317
2023,1,1,Big Ten,546335,Johns Hopkins,WLA,322
2023,1,1,Atlantic 10,546336,La Salle,WLA,340
2023,1,1,Patriot,546337,Lafayette,WLA,342
2023,1,1,Patriot,546338,Lehigh,WLA,352
2023,1,1,ASUN,546339,Liberty,WLA,355
