season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,3,III,MASCAC,594407,Salem St.,WLA,621,https://salemstateathletics.com/sports/womens-lacrosse
2025,3,III,Landmark,594408,Juniata,WLA,325,https://juniataathletics.com/sports/womens-lacrosse
2025,3,III,USA South,594412,N.C. Wesleyan,WLA,491,https://ncwcbishops.com/sports/womens-lacrosse
2025,3,III,PAC,594413,Chatham,WLA,10972,https://chathamathletics.com/sports/womens-lacrosse
2025,3,III,ODAC,594415,Averett,WLA,44,https://averettcougars.com/sports/womens-lacrosse
2025,3,III,USA South,594416,Pfeiffer,WLA,542,https://pfeifferfalcons.com/sports/womens-lacrosse
2025,3,III,Michigan Intercol. Ath. Assn.,594419,Adrian,WLA,4,https://adrianbulldogs.com/sports/womens-lacrosse
2025,3,III,Michigan Intercol. Ath. Assn.,594421,Albion,WLA,15,https://albionbritons.com/sports/womens-lacrosse
2025,3,III,MAC Commonwealth,594422,Albright,WLA,16,https://albrightlions.com/sports/womens-lacrosse
2025,3,III,Empire 8,594424,Alfred,WLA,18,https://alfredsaxons.com/sports/womens-lacrosse
2025,3,III,PAC,594425,Allegheny,WLA,19,https://alleghenysites.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594427,DeSales,WLA,20,https://desalesbulldogs.com/sports/womens-lacrosse
2025,3,III,Michigan Intercol. Ath. Assn.,594429,Alma,WLA,21,https://almascots.com/sports/womens-lacrosse
2025,3,III,NESCAC,594430,Amherst,WLA,24,https://amherstathletics.com/sports/womens-lacrosse
2025,3,III,WIAC,594432,Augsburg,WLA,38,https://augsburgauggies.com/sports/womens-lacrosse
2025,3,III,CCIW,594433,Augustana (IL),WLA,40,https://augustanavikings.com/sports/womens-lacrosse
2025,3,III,OAC,594435,Baldwin Wallace,WLA,46,https://bwyellowjackets.com/sports/womens-lacrosse
2025,3,III,NESCAC,594437,Bates,WLA,50,https://gobatesbobcats.com/sports/womens-lacrosse
2025,3,III,NACC,594438,Beloit,WLA,53,https://beloitbuccaneers.com/sports/womens-lacrosse
2025,3,III,NESCAC,594440,Bowdoin,WLA,69,https://bowdoinpolarbears.com/sports/womens-lacrosse
2025,3,III,ODAC,594442,Bridgewater (VA),WLA,75,https://bridgewatereagles.com/sports/womens-lacrosse
2025,3,III,MASCAC,594444,Bridgewater St.,WLA,76,https://bscbears.com/sports/womens-lacrosse
2025,3,III,Empire 8,594446,SUNY Brockport,WLA,78,https://brockportsports.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594449,Buffalo St.,WLA,85,https://buffalostateathletics.com/sports/womens-lacrosse
