season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2019,2,II,Conference Carolinas,453117,Southern Wesleyan,WLA,30192.0
2019,2,II,Sunshine State,453119,Embry-Riddle (FL),WLA,9680.0
2019,2,II,Sunshine State,453120,Palm Beach Atl.,WLA,30045.0
2019,2,II,SAC,453121,Mars Hill,WLA,1199.0
2019,2,II,NE10,453122,Adelphi,WLA,3.0
2019,2,II,Gulf South,453123,UAH,WLA,
2019,2,II,NE10,453124,American Int'l,WLA,22.0
2019,2,II,NE10,453125,Assumption,WLA,36.0
2019,2,II,NE10,453126,Bentley,WLA,56.0
2019,2,II,PSAC,453127,Bloomsburg,WLA,65.0
2019,2,II,ECC,453128,Bridgeport,WLA,74.0
2019,2,II,G-MAC,453129,Davis & Elkins,WLA,174.0
2019,2,II,ECC,453130,Dist. Columbia,WLA,186.0
2019,2,II,PSAC,453131,East Stroudsburg,WLA,197.0
2019,2,II,PSAC,453132,Edinboro,WLA,209.0
2019,2,II,Sunshine State,453133,Florida Tech,WLA,230.0
2019,2,II,Sunshine State,453134,Fla. Southern,WLA,233.0
2019,2,II,NE10,453135,Franklin Pierce,WLA,241.0
2019,2,II,PSAC,453136,Gannon,WLA,246.0
2019,2,II,GLIAC,453137,Grand Valley St.,WLA,262.0
2019,2,II,PSAC,453138,Indiana (PA),WLA,307.0
2019,2,II,GLIAC,453139,UIndy,WLA,309.0
2019,2,II,PSAC,453140,Kutztown,WLA,339.0
2019,2,II,NE10,453141,Le Moyne,WLA,349.0
2019,2,II,PSAC,453142,Lock Haven,WLA,360.0
2019,2,II,ECC,453143,LIU Post,WLA,362.0
2019,2,II,ECC,453144,Mercy,WLA,407.0
2019,2,II,PSAC,453145,Mercyhurst,WLA,408.0
2019,2,II,NE10,453146,Merrimack,WLA,410.0
2019,2,II,PSAC,453147,Millersville,WLA,423.0
2019,2,II,ECC,453148,Molloy,WLA,437.0
2019,2,II,NE10,453149,Southern N.H.,WLA,468.0
2019,2,II,NE10,453150,New Haven,WLA,470.0
2019,2,II,ECC,453151,New York Tech,WLA,477.0
2019,2,II,GLIAC,453152,Northern Mich.,WLA,506.0
2019,2,II,NE10,453153,Pace,WLA,533.0
2019,2,II,CACC,453154,Jefferson,WLA,543.0
2019,2,II,ECC,453155,Queens (NY),WLA,560.0
2019,2,II,RMAC,453156,Regis (CO),WLA,568.0
2019,2,II,Sunshine State,453157,Rollins,WLA,584.0
2019,2,II,NE10,453158,St. Anselm,WLA,593.0
2019,2,II,Sunshine State,453159,Saint Leo,WLA,608.0
2019,2,II,NE10,453160,Saint Michael's,WLA,613.0
2019,2,II,PSAC,453161,Shippensburg,WLA,638.0
2019,2,II,PSAC,453162,Slippery Rock,WLA,643.0
2019,2,II,NE10,453163,Southern Conn. St.,WLA,658.0
2019,2,II,NE10,453164,Stonehill,WLA,682.0
2019,2,II,Sunshine State,453165,Tampa,WLA,689.0
2019,2,II,PSAC,453166,West Chester,WLA,765.0
2019,2,II,RMAC,453167,Adams St.,WLA,929.0
2019,2,II,G-MAC,453168,Alderson Broaddus,WLA,934.0
2019,2,II,CACC,453169,Caldwell,WLA,995.0
2019,2,II,SAC,453170,Catawba,WLA,1001.0
2019,2,II,MEC,453171,Charleston (WV),WLA,1013.0
2019,2,II,SAC,453172,Coker,WLA,1023.0
2019,2,II,Conference Carolinas,453173,Erskine,WLA,1072.0
2019,2,II,G-MAC,453174,Findlay,WLA,1079.0
2019,2,II,RMAC,453175,Fort Lewis,WLA,1083.0
2019,2,II,CACC,453176,Holy Family,WLA,1126.0
2019,2,II,SAC,453177,Lenoir-Rhyne,WLA,1170.0
2019,2,II,Conference Carolinas,453178,Limestone,WLA,1174.0
2019,2,II,SAC,453179,Lincoln Memorial,WLA,1176.0
2019,2,II,Gulf South,453180,Montevallo,WLA,1238.0
2019,2,II,Conference Carolinas,453181,Mount Olive,WLA,1245.0
2019,2,II,SAC,453182,Newberry,WLA,1257.0
2019,2,II,CACC,453183,Alliance,WLA,1277.0
2019,2,II,CACC,453184,Post,WLA,1318.0
2019,2,II,RMAC,453185,Rockhurst,WLA,1328.0
2019,2,II,ECC,453186,St. Thomas Aquinas,WLA,1348.0
2019,2,II,G-MAC,453187,Tiffin,WLA,1403.0
2019,2,II,CACC,453188,Wilmington (DE),WLA,1460.0
2019,2,II,SAC,453189,Wingate,WLA,1462.0
2019,2,II,Conference Carolinas,453190,Belmont Abbey,WLA,2683.0
2019,2,II,RMAC,453191,CSU Pueblo,WLA,2720.0
2019,2,II,G-MAC,453192,Lake Erie,WLA,2746.0
2019,2,II,Conference Carolinas,453193,Chowan,WLA,8875.0
2019,2,II,Conference Carolinas,453194,Converse,WLA,8935.0
2019,2,II,CACC,453195,Dominican (NY),WLA,8956.0
2019,2,II,CACC,453196,Georgian Court,WLA,9004.0
2019,2,II,GLIAC,453197,Concordia-St. Paul,WLA,9081.0
2019,2,II,Conference Carolinas,453198,North Greenville,WLA,9223.0
2019,2,II,MEC,453199,West Va. Wesleyan,WLA,9630.0
2019,2,II,RMAC,453200,UC-Colo. Springs,WLA,9754.0
2019,2,II,MEC,453201,Shepherd,WLA,10870.0
2019,2,II,RMAC,453202,Colorado Mesa,WLA,11416.0
2019,2,II,SAC,453203,Queens (NC),WLA,11504.0
2019,2,II,MEC,453204,Wheeling,WLA,12799.0
2019,2,II,SAC,453205,Tusculum,WLA,12830.0
2019,2,II,Conference Carolinas,453206,Lees-McRae,WLA,13302.0
2019,2,II,G-MAC,453207,Ohio Valley,WLA,15207.0
2019,2,II,Conference Carolinas,453208,Barton,WLA,15646.0
2019,2,II,CACC,453209,Chestnut Hill,WLA,21323.0
2019,2,II,CACC,453210,Felician,WLA,23157.0
2019,2,II,Gulf South,453211,Lee,WLA,30013.0
2019,2,II,PSAC,453212,Seton Hill,WLA,30063.0
2019,2,II,MEC,453214,Notre Dame (OH),WLA,30126.0
2019,2,II,RMAC,453215,Lindenwood,WLA,30136.0
2019,2,II,GLIAC,453216,McKendree,WLA,30138.0
2019,2,II,G-MAC,453217,Ursuline,WLA,30140.0
2019,2,II,G-MAC,453218,Walsh,WLA,30141.0
2019,2,II,ECC,453219,Roberts Wesleyan,WLA,30150.0
2019,2,II,Gulf South,453220,Shorter,WLA,30151.0
2019,2,II,Gulf South,453221,Young Harris,WLA,30154.0
2019,2,II,MEC,453222,UVA Wise,WLA,30181.0
2019,2,II,Conference Carolinas,453223,Emmanuel (GA),WLA,30193.0
2019,2,II,RMAC,453224,Okla. Baptist,WLA,30202.0
2019,2,II,RMAC,453225,Westminster (UT),WLA,30209.0
2019,2,II,GLIAC,453226,Davenport,WLA,30221.0
2019,2,II,GLIAC,474385,Lewis,WLA,354.0
2019,2,II,GLIAC,474677,Ashland,WLA,35.0
2019,2,II,GLIAC,474716,Maryville (MO),WLA,395.0
