season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2016,3,III,Michigan Intercol. Ath. Assn.,109123,Adrian,WLA,4
2016,3,III,Michigan Intercol. Ath. Assn.,109124,Albion,WLA,15
2016,3,III,MAC Commonwealth,109125,Albright,WLA,16
2016,3,III,Empire 8,109126,Alfred,WLA,18
2016,3,III,NCAC,109127,Allegheny,WLA,19
2016,3,III,Michigan Intercol. Ath. Assn.,109128,Alma,WLA,21
2016,3,III,NESCAC,109129,Amherst,WLA,24
2016,3,III,Midwest Lacrosse Conference,109130,Augsburg,WLA,38
2016,3,III,CCIW,109131,Augustana (IL),WLA,40
2016,3,III,MWLC,109132,Aurora,WLA,42
2016,3,III,NEWMAC,109133,Babson,WLA,45
2016,3,III,OAC,109134,Baldwin Wallace,WLA,46
2016,3,III,NESCAC,109135,Bates,WLA,50
2016,3,III,MWLC,109136,Beloit,WLA,53
2016,3,III,NESCAC,109137,Bowdoin,WLA,69
2016,3,III,ODAC,109138,Bridgewater (VA),WLA,75
2016,3,III,MASCAC,109139,Bridgewater St.,WLA,76
2016,3,III,SUNYAC,109140,SUNY Brockport,WLA,78
2016,3,III,Centennial,109141,Bryn Mawr,WLA,82
2016,3,III,SUNYAC,109142,Buffalo St.,WLA,85
2016,3,III,CSAC,109143,Cabrini,WLA,88
2016,3,III,Michigan Intercol. Ath. Assn.,109144,Calvin,WLA,114
2016,3,III,OAC,109145,Capital,WLA,117
2016,3,III,CCIW,109146,Carroll (WI),WLA,120
2016,3,III,CCIW,109147,Carthage,WLA,121
2016,3,III,North Atlantic,109148,VTSU Castleton,WLA,123
2016,3,III,Landmark,109149,Catholic,WLA,124
2016,3,III,SAA,109150,Centre,WLA,132
2016,3,III,SCIAC,109151,Chapman,WLA,134
2016,3,III,C2C,109152,Chris. Newport,WLA,139
2016,3,III,SCIAC,109153,Claremont-M-S,WLA,142
2016,3,III,Liberty League,109154,Clarkson,WLA,146
2016,3,III,NESCAC,109155,Colby,WLA,151
2016,3,III,North Atlantic,109156,Colby-Sawyer,WLA,152
2016,3,III,Independent,109157,Colorado Col.,WLA,154
2016,3,III,Independent,109158,Concordia Chicago,WLA,160
2016,3,III,NESCAC,109159,Connecticut Col.,WLA,163
2016,3,III,MWLC,109160,Cornell College,WLA,166
2016,3,III,SUNYAC,109161,Cortland,WLA,168
2016,3,III,CNE,109162,Curry,WLA,170
2016,3,III,NCAC,109163,DePauw,WLA,177
2016,3,III,MAC Freedom,109164,Delaware Valley,WLA,179
2016,3,III,NCAC,109165,Denison,WLA,182
2016,3,III,Centennial,109166,Dickinson,WLA,185
2016,3,III,Landmark,109167,Drew,WLA,190
2016,3,III,CCIW,109168,Dubuque,WLA,192
2016,3,III,Little East,109169,Eastern Conn. St.,WLA,200
2016,3,III,Landmark,109170,Elizabethtown,WLA,211
2016,3,III,CCIW,109171,Elmhurst,WLA,212
2016,3,III,Empire 8,109172,Elmira,WLA,213
2016,3,III,NEWMAC,109173,Emerson,WLA,214
2016,3,III,Great Northeast,109174,Emmanuel (MA),WLA,215
2016,3,III,MAC Freedom,109175,FDU-Florham,WLA,221
2016,3,III,USA South,109176,Ferrum,WLA,225
2016,3,III,MASCAC,109177,Fitchburg St.,WLA,227
2016,3,III,MASCAC,109178,Framingham St.,WLA,238
2016,3,III,Centennial,109179,Franklin & Marshall,WLA,239
2016,3,III,SUNYAC,109180,Fredonia,WLA,242
2016,3,III,C2C,109181,Frostburg St.,WLA,243
2016,3,III,SUNYAC,109182,SUNY Geneseo,WLA,247
2016,3,III,Centennial,109183,Gettysburg,WLA,258
2016,3,III,NJAC,109184,Rowan,WLA,259
2016,3,III,USA South,109185,Greensboro,WLA,263
2016,3,III,NESCAC,109186,Hamilton,WLA,267
2016,3,III,Independent,109187,Hamline,WLA,268
2016,3,III,Empire 8,109189,Hartwick,WLA,273
2016,3,III,Centennial,109190,Haverford,WLA,276
2016,3,III,NCAC,109191,Hiram,WLA,281
2016,3,III,ODAC,109192,Hollins,WLA,284
2016,3,III,Michigan Intercol. Ath. Assn.,109193,Hope,WLA,286
2016,3,III,MWLC,109194,Benedictine (IL),WLA,296
2016,3,III,CCIW,109195,Ill. Wesleyan,WLA,300
2016,3,III,CSAC,109196,Immaculata,WLA,303
2016,3,III,Empire 8,109197,Ithaca,WLA,313
