season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2024,1,I,MAC,571906,Eastern Mich.,WLA,204
2024,1,I,MAC,571908,Youngstown St.,WLA,817
2024,1,I,Big South,571909,Wofford,WLA,2915
2024,1,I,Pac-12,571910,Arizona St.,WLA,28
2024,1,I,MAC,571911,Kent St.,WLA,331
2024,1,I,Patriot,571913,American,WLA,23
2024,1,I,America East,571915,Binghamton,WLA,62
2024,1,I,ACC,571917,Boston College,WLA,67
2024,1,I,Patriot,571919,Boston U.,WLA,68
2024,1,I,Ivy League,571921,Brown,WLA,80
2024,1,I,America East,571924,Bryant,WLA,81
2024,1,I,Patriot,571926,Bucknell,WLA,83
2024,1,I,Big East,571928,Butler,WLA,87
2024,1,I,Pac-12,571930,California,WLA,107
2024,1,I,Pac-12,571931,UC Davis,WLA,108
2024,1,I,CAA,571933,Campbell,WLA,115
2024,1,I,MAAC,571935,Canisius,WLA,116
2024,1,I,NEC,571937,Central Conn. St.,WLA,127
2024,1,I,MAC,571938,Central Mich.,WLA,129
2024,1,I,The American,571940,Cincinnati,WLA,140
2024,1,I,ASUN,571942,Coastal Carolina,WLA,149
2024,1,I,Patriot,571944,Colgate,WLA,153
2024,1,I,Pac-12,571947,Colorado,WLA,157
2024,1,I,Ivy League,571949,Columbia,WLA,158
2024,1,I,Big East,571951,UConn,WLA,164
2024,1,I,Ivy League,571953,Cornell,WLA,167
2024,1,I,Ivy League,571955,Dartmouth,WLA,172
2024,1,I,Atlantic 10,571957,Davidson,WLA,173
2024,1,I,NEC,571959,Delaware St.,WLA,178
2024,1,I,CAA,571961,Delaware,WLA,180
2024,1,I,Big East,571963,Denver,WLA,183
2024,1,I,MAC,571965,Detroit Mercy,WLA,184
2024,1,I,CAA,571967,Drexel,WLA,191
2024,1,I,ACC,571968,Duke,WLA,193
2024,1,I,Atlantic 10,571971,Duquesne,WLA,194
2024,1,I,MAAC,571973,Fairfield,WLA,220
2024,1,I,The American,571976,Florida,WLA,235
2024,1,I,Big South,571978,Furman,WLA,244
2024,1,I,Atlantic 10,571980,George Mason,WLA,248
2024,1,I,Atlantic 10,571981,George Washington,WLA,249
2024,1,I,Big East,571983,Georgetown,WLA,251
2024,1,I,Ivy League,571985,Harvard,WLA,275
2024,1,I,CAA,571986,Hofstra,WLA,283
2024,1,I,Patriot,571988,Holy Cross,WLA,285
2024,1,I,NEC,571990,Howard,WLA,290
2024,1,I,MAAC,571992,Iona,WLA,310
2024,1,I,ASUN,571993,Jacksonville,WLA,316
2024,1,I,The American,571995,James Madison,WLA,317
2024,1,I,Big Ten,571998,Johns Hopkins,WLA,322
2024,1,I,Atlantic 10,572000,La Salle,WLA,340
2024,1,I,Patriot,572002,Lafayette,WLA,342
2024,1,I,Patriot,572004,Lehigh,WLA,352
2024,1,I,ASUN,572006,Liberty,WLA,355
2024,1,I,NEC,572009,LIU,WLA,361
2024,1,I,Big South,572011,Longwood,WLA,363
2024,1,I,ACC,572013,Louisville,WLA,367
2024,1,I,America East,572015,UMass Lowell,WLA,368
2024,1,I,Patriot,572017,Loyola Maryland,WLA,369
2024,1,I,MAAC,572019,Manhattan,WLA,381
2024,1,I,MAAC,572021,Marist,WLA,386
2024,1,I,Big East,572022,Marquette,WLA,387
2024,1,I,America East,572024,UMBC,WLA,391
2024,1,I,Big Ten,572026,Maryland,WLA,392
2024,1,I,Atlantic 10,572028,Massachusetts,WLA,400
2024,1,I,Big South,572029,Mercer,WLA,406
2024,1,I,Big Ten,572031,Michigan,WLA,418
2024,1,I,CAA,572033,Monmouth,WLA,439
2024,1,I,MAAC,572035,Mount St. Mary's,WLA,450
2024,1,I,ACC,572037,North Carolina,WLA,457
2024,1,I,America East,572040,New Hampshire,WLA,469
2024,1,I,MAAC,572042,Niagara,WLA,482
2024,1,I,Big Ten,572043,Northwestern,WLA,509
2024,1,I,ACC,572045,Notre Dame,WLA,513
2024,1,I,Big Ten,572048,Ohio St.,WLA,518
2024,1,I,The American,572050,Old Dominion,WLA,523
2024,1,I,Pac-12,572051,Oregon,WLA,529
2024,1,I,Big Ten,572053,Penn St.,WLA,539
2024,1,I,Ivy League,572055,Penn,WLA,540
2024,1,I,Ivy League,572057,Princeton,WLA,554
2024,1,I,MAAC,572058,Quinnipiac,WLA,562
2024,1,I,Big South,572061,Radford,WLA,563
2024,1,I,Atlantic 10,572062,Richmond,WLA,575
2024,1,I,MAC,572064,Robert Morris,WLA,579
2024,1,I,Big Ten,572066,Rutgers,WLA,587
2024,1,I,NEC,572068,Sacred Heart,WLA,590
2024,1,I,Atlantic 10,572070,St. Bonaventure,WLA,596
2024,1,I,NEC,572071,Saint Francis,WLA,600
2024,1,I,Atlantic 10,572074,Saint Joseph's,WLA,606
2024,1,I,Pac-12,572077,San Diego St.,WLA,626
2024,1,I,MAAC,572079,Siena,WLA,639
2024,1,I,Pac-12,572081,Southern California,WLA,657
2024,1,I,Pac-12,572083,Stanford,WLA,674
2024,1,I,ASUN,572085,Stetson,WLA,678
2024,1,I,CAA,572086,Stony Brook,WLA,683
2024,1,I,ACC,572088,Syracuse,WLA,688
2024,1,I,The American,572090,Temple,WLA,690
2024,1,I,CAA,572092,Towson,WLA,711
2024,1,I,Patriot,572094,Army West Point,WLA,725
2024,1,I,Patriot,572096,Navy,WLA,726
2024,1,I,The American,572099,Vanderbilt,WLA,736
2024,1,I,America East,572100,Vermont,WLA,738
2024,1,I,Big East,572102,Villanova,WLA,739
